gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg,total_demand_kg,total_supply_kg
2954,Reference,40.63802168,-111.9269069,0,6984999.895,0,0,0,0,0,80549891.37,0,0,0,0,67257264.35,87534891.26,67257264.35
2955,Reference,40.64450902,-80.57044741,0,28024399.86,0,0,0,0,0,8860102.829,0,0,0,0,10605953.22,36884502.68,10605953.22
2956,Reference,40.64704127,-75.43406804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,Reference,40.6594457,-76.20101201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2958,Reference,40.70114555,-89.58579417,0,43461141.38,0,0,56700821.9,0,0,0,0,0,0,0,9933380.581,100161963.3,9933380.581
2959,Reference,40.7067798,-99.07246655,0,0,0,0,41310598.79,0,0,0,0,0,0,0,0,41310598.79,0
2960,Reference,40.71580874,-73.96816066,0,35799713.43,0,0,0,0,0,98770885.45,0,0,0,0,26816678.48,134570598.9,26816678.48
2961,Reference,40.74071311,-84.12044482,140529821.3,42036599.78,0,0,8910129.279,0,0,71266044.49,0,0,0,0,275834423,262742594.9,275834423
2962,Reference,40.75336734,-82.53010947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2963,Reference,40.77709953,-124.1697449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2964,Reference,40.79207528,-76.51528901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,Reference,40.79837979,-77.86006509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966,Reference,40.80815326,-96.68084746,67613404.61,230320982,0,0,62505906.17,0,0,0,0,0,0,0,74327821.26,360440292.7,74327821.26
2967,Reference,40.82038449,-81.92811738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2968,Reference,40.82862562,-81.42980681,0,14012199.93,0,0,0,0,0,38522186.21,0,0,0,0,0,52534386.14,0
2969,Reference,40.86627677,-79.92255101,0,21249669.5,0,0,0,0,0,0,0,0,0,0,4828726.671,21249669.5,4828726.671
2970,Reference,40.91477131,-124.0902056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,Reference,40.91483039,-81.09586957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2972,Reference,40.92598149,-98.35536029,6628765.157,115160491,0,0,96661400.87,0,0,0,0,0,0,0,6739244.577,218450657,6739244.577
2973,Reference,40.942039,-90.35606425,164393375.9,43461141.38,0,0,25920375.67,0,0,0,0,0,0,0,167133265.5,233774893,167133265.5
2974,Reference,40.98207841,-75.98036386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2975,Reference,40.99041504,-76.87576309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2976,Reference,41.01897451,-76.40431513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2977,Reference,41.02030975,-75.21042934,0,21249669.5,0,0,0,0,0,0,0,0,0,0,372501.7718,21249669.5,372501.7718
2978,Reference,41.05221739,-83.63918891,0,0,0,0,16875244.48,0,0,0,0,0,0,0,0,16875244.48,0
2979,Reference,41.06626469,-81.49284125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,Reference,41.10016419,-85.13827724,0,40491996.01,0,0,13635197.57,0,0,0,0,0,0,0,9829907.867,54127193.57,9829907.867
2981,Reference,41.12,-94.36,7954518.189,0,0,0,27810403.13,0,0,0,0,0,0,0,8087093.492,35764921.32,8087093.492
2982,Reference,41.14061668,-104.8062547,35795331.85,7658626.077,0,0,0,0,0,20031536.83,0,0,0,0,50619418.94,63485494.76,50619418.94
2983,Reference,41.14076431,-111.9860712,0,3492499.948,0,0,0,0,0,0,0,0,0,0,0,3492499.948,0
2984,Reference,41.14462884,-80.68116883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2985,Reference,41.15168401,-87.86324802,0,86922282.77,0,0,0,0,0,100157684.1,0,0,0,0,95996810.77,187079966.9,95996810.77
2986,Reference,41.16905261,-74.54656516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2987,Reference,41.2347002,-96.03366774,0,0,0,0,43200625.89,0,0,0,0,0,0,0,0,43200625.89,0
2988,Reference,41.23541058,-73.30904934,0,1092690.082,0,0,0,0,0,0,0,0,0,0,0,1092690.082,0
2989,Reference,41.24720263,-77.00334921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2990,Reference,41.24954525,-85.83284208,0,0,0,0,9180133.102,0,0,0,0,0,0,0,0,9180133.102,0
2991,Reference,41.261142,-110.806321,0,0,0,0,0,0,0,1309754.331,0,0,0,0,0,1309754.331,0
2992,Reference,41.3104677,-121.4427313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,Reference,41.31636377,-105.6044974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,Reference,41.3346244,-89.11981456,0,0,0,0,45900665.16,0,0,0,0,0,0,0,0,45900665.16,0
2995,Reference,41.35044272,-75.78320497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,Reference,41.37022629,-72.78153317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,Reference,41.37534178,-83.64988699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,Reference,41.39816754,-72.07287644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,Reference,41.40450418,-82.16152321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,Reference,41.42069383,-82.67951531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,Reference,41.4273738,-78.5609398,0,21249669.5,0,0,14850215.12,0,0,0,0,0,0,0,248334.5145,36099884.62,248334.5145
3002,Reference,41.44259146,-81.60434848,0,28024399.86,0,0,0,0,0,0,0,0,0,0,3880226.79,28024399.86,3880226.79
3003,Reference,41.44505338,-74.39384306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,Reference,41.45527138,-73.42491723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,Reference,41.51745917,-90.51312374,0,0,0,0,28080406.95,0,0,0,0,0,0,0,0,28080406.95,0
3006,Reference,41.52535356,-99.17519733,0,0,0,0,13095189.92,0,0,0,0,0,0,0,0,13095189.92,0
3007,Reference,41.54,-109.13,37121084.88,0,0,0,0,0,0,0,0,0,0,0,37739769.63,37121084.88,37739769.63
3008,Reference,41.54667858,-92.6445543,0,0,0,0,4995072.459,0,0,0,0,0,0,0,0,4995072.459,0
