hour,EFS2020,EFS2030,EFS2040,EFS2050
222,41310.305,45560.469,50161.266,55353.281
223,46636.859,51439.324,56641.285,62509.84
224,48886.875,53922.219,59376.086,65527.391
225,47908.895,52842.582,58186.371,64214.434
226,47561.652,52459.496,57765.336,63751.125
227,47337.891,52212.625,57494.188,63453
228,46812.813,51633.461,56857.016,62750.484
229,45979.473,50713.762,55844.172,61633.121
230,45413.82,50089.68,55157.078,60875.172
231,44835.184,49451.281,54453.949,60098.914
232,44471.324,49049.434,54011.16,59610.328
233,44552.387,49137.969,54108.25,59717.887
234,46159.27,50910.297,56061.598,61876.738
235,48982.543,54025.816,59494.629,65667.445
236,49092.129,54146.727,59627.246,65813.234
237,48463.328,53453.367,58863.121,64968.871
238,46641.223,51442.934,56647.16,62520.836
239,43712.93,48211.926,53086.039,58586.777
240,40956.75,45170.137,49733.309,54883.398
241,39233.289,43268.516,47637.637,52568.66
242,38613.672,42584.996,46884.277,51736.027
243,38599.73,42569.793,46867.496,51717.23
244,39151.52,43179.074,47539.375,52459.215
245,40625.16,44805.336,49331.926,54439.035
246,44233.102,48787.082,53721.457,59287.98
247,49745.789,54870.648,60426.68,66693.375
248,51225.492,56502.527,62222.473,68673.805
249,48689.07,53702.551,59136.059,65266.402
250,46162.961,50913.469,56061.188,61871.691
251,44292.727,48848.828,53785.043,59358.289
252,42754.34,47150.934,51913.625,57292.004
253,41378.922,45632.887,50240.309,55444.113
254,40601.555,44775.004,49294.781,54399.977
255,39983.477,44092.977,48543.207,53570.297
256,39683.055,43761.246,48177.098,53165.227
257,39867.883,43963.887,48398.742,53409.152
258,41165.523,45393.48,49972.27,55147.492
259,44162.535,48699.773,53613.82,59166.891
260,44495.492,49066.828,54017.59,59611.699
261,44430.516,48995.438,53938.402,59523.156
262,43300.219,47748.91,52564.785,58005.074
263,41069.59,45288.238,49853.027,55008.789
264,38592.188,42555.246,46841.613,51682.586
265,37425.832,41268.898,45424.227,50116.32
266,37434.098,41278.73,45435.672,50128.742
267,37871.336,41761.609,45967.984,50715.871
268,38916.941,42915.75,47239.969,52120.238
269,40987.551,45201.266,49759.547,54902.945
270,45322.805,49985.098,55032.438,60726.301
271,51428.18,56723.359,62458.879,68927.445
272,53653.156,59178.27,65162.91,71911.68
273,52322.891,57710.023,63544.824,70125.883
274,51843.586,57181.293,62963.383,69485.688
275,51302.34,56584.074,62306.301,68761.555
276,50258.992,55432.82,61038.207,67362.258
277,49219.207,54285.934,59775.566,65969.453
278,48276.313,53245.863,58630.434,64705.867
279,47467.359,52353.516,57648.07,63622.371
280,47324.824,52196.164,57475.609,63433.453
281,48222.012,53185.414,58565.953,64638.508
282,51054.773,56309.805,62009.066,68442.813
283,54868.668,60517.211,66643.852,73559.125
284,55449.426,61157.621,67348.688,74336.617
285,55454.824,61164.137,67356,74344.141
286,54088.508,59657.098,65695.188,72508.766
287,51500.004,56801.285,62547.684,69031.266
288,48848.723,53875.93,59324.07,65470.73
289,47309.324,52177.684,57453.02,63404.629
290,46743.301,51552.535,56763.203,62641.836
291,46569.926,51360.789,56551.578,62407.836
292,46888.301,51711.609,56937.867,62834.484
293,48179.887,53136.73,58508.77,64570.02
294,51606.816,56918.031,62676.855,69174.203
295,56831.5,62683.426,69030.719,76191.367
296,58041.063,64017.762,70499.469,77811.453
297,55662.879,61392.203,67603.813,74612.688
298,52975.176,58426.574,64336.688,71006.805
299,50257.715,55427.645,61031.688,67358.156
300,47458.102,52338.273,57627.883,63600.879
301,45234.598,49885.191,54925.488,60617.836
302,43525.875,48000.324,52849.273,58326.059
303,41914.145,46222.109,50890.211,56163.461
304,40933.574,45139.695,49697.426,54846.605
305,40906.598,45108.617,49662.652,54809.059
306,42722.406,47111.238,51869.887,57248.68
307,46385.098,51151.887,56321.055,62162.762
308,47219.504,52072.289,57334.527,63280.844
309,47636.84,52533.059,57842.105,63840.426
310,47348.172,52214.863,57491.301,63451.957
311,46105.52,50844.184,55980.773,61782.68
312,44449.383,49017.059,53967.324,59558.5
313,43257.105,47701.922,52518.324,57957.938
314,42730.238,47120.477,51877.371,57249.855
315,42673.68,47058.168,51809.16,57174.695
316,43012.047,47431.781,52221.031,57629.043
317,44003.469,48526.148,53427.137,58960.805
318,45663.18,50357.645,55445.918,61190.465
319,47958.707,52890.844,58237.84,64273.625
320,49788.488,54910.113,60462.508,66728.945
321,49871.73,55001.898,60563.816,66841.625
322,48162.27,53115.418,58484.727,64546.453
323,45640.809,50333.723,55419.77,61162.77
324,43069.086,47496.344,52293.098,57710.203
325,40600.938,44773.48,49293.594,54399.258
326,38679.113,42653.41,46958.176,51821.172
327,37283.66,41113.973,45262.418,49949.188
328,36544.988,40298.844,44364.391,48958.027
329,36386.211,40122.914,44170.262,48744.504
330,37791.32,41671.809,45876.762,50630.887
331,40917.715,45120.891,49676.277,54825.508
332,41427.23,45682.988,50295.043,55507.832
333,41671.402,45951.988,50591.059,55834.32
334,41419.961,45674.836,50285.305,55495.465
335,40469.758,44626.492,49129.852,54218.594
