,p61,p62,p60,p63,p64,p65,p67
2050-06-19 16:00:00,513.0062323225427,513.0062323225427,513.0062323225427,692.2529874183753,692.2529874183753,692.2529874183753,960.8124834933346
2050-06-19 17:00:00,513.0062323225427,513.0062323225427,513.0062323225427,814.4152793157356,814.4152793157356,692.2529874183753,960.8124834933346
2050-06-19 18:00:00,679.4780513060034,679.4780513060034,679.4780513060034,814.4152793157356,692.2529874183753,692.2529874183753,960.8124834933346
2050-06-19 19:00:00,679.4780513060097,679.4780513060097,679.4780513060097,814.4152793157356,679.4780513060097,679.4780513060097,814.4152793157356
2050-06-19 20:00:00,679.4780513060034,679.4780513060034,679.4780513060034,814.4152793157356,679.4780513060034,679.4780513060034,814.4152793157356
2050-06-19 21:00:00,679.4780513060097,679.4780513060022,679.4780513060097,814.4152793157356,350.1244408367012,350.1244408367012,814.4152793157356
2050-06-19 22:00:00,679.4780513060097,679.4780513060097,679.4780513060097,692.2529874183753,679.4780513060097,125.38313695354464,692.2529874183753
2050-06-19 23:00:00,679.4780513060097,679.4780513060097,679.4780513060097,692.2529874183753,679.4780513060097,679.4780513060034,692.2529874183753
2050-06-20 00:00:00,679.4780513060097,679.4780513060097,679.4780513060097,692.2529874183753,679.4780513060097,679.4780513060097,692.2529874183753
2050-06-20 01:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-20 02:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-20 03:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-20 04:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-20 05:00:00,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452
2050-06-20 06:00:00,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356
2050-06-20 07:00:00,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452,799.3859427129452
