gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg
1049,Improved Electrolysis,40.6594457,-76.20101201,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,Improved Electrolysis,40.70114555,-89.58579417,0,43461141383,0,0,0,0,0,0,0,0,28698941185,0,0
1051,Improved Electrolysis,40.7067798,-99.07246655,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,Improved Electrolysis,40.71580874,-73.96816066,0,35799713425,0,0,0,0,0,98770885445,0,0,0,0,0
1053,Improved Electrolysis,40.74071311,-84.12044482,1.07724E+11,42036599785,0,0,0,0,0,71266044491,0,0,0,0,0
1054,Improved Electrolysis,40.75336734,-82.53010947,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,Improved Electrolysis,40.77709953,-124.1697449,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,Improved Electrolysis,40.79207528,-76.51528901,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,Improved Electrolysis,40.79837979,-77.86006509,0,0,0,0,0,0,0,0,0,0,20156499.36,0,0
1058,Improved Electrolysis,40.80815326,-96.68084746,51829268293,2.30321E+11,0,0,0,0,0,0,0,0,0,0,0
1059,Improved Electrolysis,40.82038449,-81.92811738,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,Improved Electrolysis,40.82862562,-81.42980681,0,14012199928,0,0,0,0,0,38522186211,0,0,0,0,0
1061,Improved Electrolysis,40.86627677,-79.92255101,0,21249669498,0,0,0,0,0,0,0,0,0,0,0
1062,Improved Electrolysis,40.91477131,-124.0902056,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Improved Electrolysis,40.91483039,-81.09586957,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,Improved Electrolysis,40.92598149,-98.35536029,5081300813,1.1516E+11,0,0,0,0,0,0,0,0,0,0,0
1065,Improved Electrolysis,40.942039,-90.35606425,1.26016E+11,43461141383,0,0,0,0,0,0,0,0,0,0,0
1066,Improved Electrolysis,40.98207841,-75.98036386,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,Improved Electrolysis,40.99041504,-76.87576309,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,Improved Electrolysis,41.01897451,-76.40431513,0,0,0,0,0,0,0,0,0,0,0,3.31836E+11,0
1069,Improved Electrolysis,41.02030975,-75.21042934,0,21249669498,0,0,0,0,0,0,0,0,0,0,0
1070,Improved Electrolysis,41.05221739,-83.63918891,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,Improved Electrolysis,41.06626469,-81.49284125,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,Improved Electrolysis,41.10016419,-85.13827724,0,40491996006,0,0,0,0,0,0,0,0,0,0,0
1073,Improved Electrolysis,41.12,-94.36,6097560976,0,0,0,0,0,0,0,0,0,0,0,0
1074,Improved Electrolysis,41.14061668,-104.8062547,27439024390,7658626077,0,0,0,0,0,20031536830,0,0,0,0,0
1075,Improved Electrolysis,41.14076431,-111.9860712,0,3492499948,0,0,0,0,0,0,0,0,0,0,0
1076,Improved Electrolysis,41.14462884,-80.68116883,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,Improved Electrolysis,41.15168401,-87.86324802,0,86922282766,0,0,0,0,0,1.00158E+11,0,0,0,6.03311E+11,0
1078,Improved Electrolysis,41.16905261,-74.54656516,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,Improved Electrolysis,41.2347002,-96.03366774,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,Improved Electrolysis,41.23541058,-73.30904934,0,1092690082,0,0,0,0,0,0,0,0,0,0,0
1081,Improved Electrolysis,41.24720263,-77.00334921,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,Improved Electrolysis,41.24954525,-85.83284208,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Improved Electrolysis,41.261142,-110.806321,0,0,0,0,0,0,0,1309754331,0,0,0,0,0
1084,Improved Electrolysis,41.3104677,-121.4427313,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,Improved Electrolysis,41.31636377,-105.6044974,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,Improved Electrolysis,41.3346244,-89.11981456,0,0,0,0,0,0,0,0,0,0,0,3.18799E+11,0
1087,Improved Electrolysis,41.35044272,-75.78320497,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,Improved Electrolysis,41.37022629,-72.78153317,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,Improved Electrolysis,41.37534178,-83.64988699,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,Improved Electrolysis,41.39816754,-72.07287644,0,0,0,0,0,0,0,0,0,0,0,3.29481E+11,0
1091,Improved Electrolysis,41.40450418,-82.16152321,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,Improved Electrolysis,41.42069383,-82.67951531,0,0,0,0,0,0,0,0,0,0,0,1.85879E+11,0
1093,Improved Electrolysis,41.4273738,-78.5609398,0,21249669498,0,0,0,0,0,0,0,0,11761799049,0,0
